-2168832.046599 4386648.214558 4077172.040538
-2168842.841785 4386642.214172 4077173.870056
-2168843.744546 4386634.668619 4077171.952913
-2168843.742457 4386633.936942 4077169.866798
-2168840.351514 4386628.715729 4077167.463885
-2168839.619778 4386629.539772 4077162.256815
-2168838.139864 4386628.789142 4077160.520987
-2168837.432772 4386630.022548 4077153.928978
-2168837.981923 4386630.330923 4077149.492329
-2168836.230377 4386631.014996 4077148.314651
-2168835.019312 4386631.603244 4077148.329497
-2168837.009183 4386632.124964 4077149.212523
-2168836.705634 4386631.741776 4077151.144711
-2168835.865006 4386634.674140 4077148.979793
-2168837.991263 4386635.118928 4077146.292717
-2168837.733108 4386633.708690 4077151.856962
-2168837.660127 4386631.506054 4077155.242967
-2168837.468891 4386630.028514 4077153.616101
-2168837.442410 4386628.462408 4077156.958052
-2168838.108622 4386629.903104 4077155.022734
-2168837.461297 4386630.196597 4077155.138330
-2168837.575316 4386631.382120 4077152.899554
-2168837.721694 4386632.142844 4077151.405572
-2168839.291288 4386632.204313 4077154.409793
-2168839.402538 4386633.018873 4077153.767335
